date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2024-08-18,54467116,(2024 QO),24.38,0.0353634784,0.0790751417,26391.5980782943,3471584.896261866,False
2024-08-18,54468768,(2024 RW3),27.28,0.0093015425,0.0207988814,19683.4168035867,2717730.846004469,False
2024-08-18,54468802,(2024 RG5),26.47,0.013506878,0.0302022973,11025.1655515309,11159642.261589231,False
2024-08-18,54470426,(2024 RL12),23.11,0.0634680239,0.1419188158,21054.8706418466,34527170.249778369,False
2024-08-14,3448532,(2009 DH39),18.8,0.4619074603,1.0328564805,95977.0987384237,63156164.397674524,True
2024-08-14,3632675,(2013 EV108),20.84,0.1805323255,0.4036825521,85037.1901093908,56028376.891049308,True
2024-08-14,3724987,(2015 PM),20.48,0.2130860292,0.4764748465,59580.8053360625,23361305.090791813,True
2024-08-14,3771019,(2017 ED3),24.12,0.0398616229,0.0891332986,24212.7425374152,36341639.11994098,False
2024-08-14,54016396,(2020 FW5),25.72,0.0190789723,0.0426618789,29460.199765786,70498242.62519189,False
2024-08-14,54231777,(2021 YR),25.85,0.0179702855,0.0401827799,69899.4719777779,27610063.054090936,False
2024-08-14,54240297,(2022 BB3),22.93,0.0689532874,0.154184238,35805.8980043401,36285781.504291243,False
2024-08-14,54271308,(2022 GT3),25.9,0.0175612318,0.0392681082,25125.0473468392,39962570.068108275,False
2024-08-14,2620063,620063 (2009 DH39),18.59,0.5088092249,1.1377320144,95977.1144979601,63156156.424108053,True
2024-08-14,54431622,(2024 FC2),22.33,0.0908981358,0.2032544107,63761.2501948736,53244146.485716912,False
2024-08-14,54465271,(2024 OB2),23.81,0.0459785188,0.1028110936,69851.4478724419,7635587.139127399,False
2024-08-14,54465603,(2024 PH2),25.59,0.0202560601,0.0452939273,36792.2377932541,1799281.125928305,False
2024-08-14,54465701,(2024 PQ2),24.5,0.0334622374,0.0748238376,23017.2233916734,16746491.447957192,False
2024-08-14,54465831,(2024 PO3),27.34,0.0090480497,0.0202320542,28006.7631611603,2732300.780955249,False
2024-08-14,54466136,(2024 PS5),22.35,0.0900647767,0.2013909631,31290.7771595009,16619494.016328294,False
2024-08-14,54466455,(2024 QD),24.34,0.0360209346,0.0805452583,39750.4948047361,9267670.295408926,False
2024-08-14,54467176,(2024 QC1),23.12,0.0631764148,0.1412667581,76234.916876787,14138357.602211932,False
2024-08-14,54468766,(2024 RU3),24.11,0.0400456158,0.0895447192,21495.4915332778,21380556.722065076,False
2024-08-20,3756789,(2016 PO),25.1,0.0253837029,0.0567596853,44436.5784771181,65477152.312652544,False
